token	corpus size	all contexts size	frequency	co-frequency	specificity
角	78029	20336	189	150	52.22
ツノ	78029	20336	108	98	45.02
存在	78029	20336	246	167	42.24
いう	78029	20336	395	225	38.06
人間	78029	20336	199	136	35.05
あり	78029	20336	265	155	28.25
節分	78029	20336	158	107	27.25
退治	78029	20336	76	63	24.34
人	78029	20336	232	134	23.84
くに	78029	20336	68	58	23.74
刃	78029	20336	47	45	23.52
登場	78029	20336	147	97	23.48
さき	78029	20336	69	57	21.94
伝説	78029	20336	125	84	21.24
姿	78029	20336	120	81	20.70
地獄	78029	20336	91	66	19.64
イメージ	78029	20336	96	67	18.47
童子	78029	20336	191	108	18.45
鬼	78029	20336	3457	1126	18.33
なく	78029	20336	87	62	17.87
時代	78029	20336	189	106	17.78
武者	78029	20336	109	72	17.69
恐ろしい	78029	20336	60	48	17.47
内	78029	20336	29	29	16.94
仏教	78029	20336	108	70	16.56
酒呑	78029	20336	158	91	16.39
亡者	78029	20336	43	37	15.62
描か	78029	20336	72	52	15.51
人々	78029	20336	67	49	15.02
なっ	78029	20336	187	100	14.98
おけ	78029	20336	52	41	14.62
日本	78029	20336	570	232	14.09
おに	78029	20336	76	52	13.95
概念	78029	20336	27	26	13.89
色	78029	20336	94	60	13.87
仏	78029	20336	46	37	13.75
意味	78029	20336	153	84	13.58
つく	78029	20336	23	23	13.44
種類	78029	20336	43	35	13.34
桃太郎	78029	20336	74	50	13.12
多く	78029	20336	72	48	12.29
頭巾	78029	20336	24	23	12.19
ツメ	78029	20336	50	37	11.77
象徴	78029	20336	85	53	11.76
物語	78029	20336	109	63	11.72
持つ	78029	20336	82	50	10.63
呼ば	78029	20336	66	43	10.59
福	78029	20336	33	27	10.51
言葉	78029	20336	54	37	10.17
隠	78029	20336	23	21	10.13
中	78029	20336	120	64	9.86
よっ	78029	20336	64	41	9.80
子	78029	20336	74	45	9.60
平安	78029	20336	67	42	9.59
説	78029	20336	58	38	9.56
里	78029	20336	39	29	9.45
社会	78029	20336	57	37	9.15
シュテンドウジ	78029	20336	53	35	9.00
煩悩	78029	20336	25	21	8.69
伝承	78029	20336	74	43	8.36
見え	78029	20336	60	37	8.26
目	78029	20336	92	50	8.25
恐怖	78029	20336	51	33	8.19
正体	78029	20336	58	36	8.16
心	78029	20336	75	43	8.12
イッカク	78029	20336	19	17	7.96
想像	78029	20336	21	18	7.78
一角	78029	20336	21	18	7.78
ない	78029	20336	158	73	7.62
カンムリ	78029	20336	13	13	7.59
悪	78029	20336	29	22	7.58
考え	78029	20336	80	44	7.56
ズキン	78029	20336	15	14	7.13
地名	78029	20336	26	20	7.11
災厄	78029	20336	12	12	7.01
豆まき	78029	20336	39	26	6.98
以外	78029	20336	17	15	6.89
出	78029	20336	51	31	6.84
おい	78029	20336	35	24	6.84
章	78029	20336	31	22	6.73
刀	78029	20336	21	17	6.68
剣舞	78029	20336	21	17	6.68
頼光	78029	20336	47	29	6.64
外	78029	20336	25	19	6.64
カタナ	78029	20336	14	13	6.58
冠	78029	20336	14	13	6.58
いっ	78029	20336	50	30	6.47
持っ	78029	20336	50	30	6.47
多い	78029	20336	43	27	6.45
役	78029	20336	39	25	6.26
恐れ	78029	20336	28	20	6.24
源	78029	20336	37	24	6.17
あっ	78029	20336	82	42	6.16
豆	78029	20336	49	29	6.11
配下	78029	20336	13	12	6.03
悪役	78029	20336	13	12	6.03
影響	78029	20336	33	22	6.01
酒	78029	20336	33	22	6.01
由来	78029	20336	62	34	5.99
各地	78029	20336	50	29	5.86
き	78029	20336	143	63	5.86
みなさ	78029	20336	10	10	5.84
雉	78029	20336	10	10	5.84
閻魔	78029	20336	15	13	5.83
渡辺	78029	20336	15	13	5.83
オンナ	78029	20336	15	13	5.83
とっ	78029	20336	27	19	5.80
牛	78029	20336	43	26	5.79
背景	78029	20336	36	23	5.78
猿	78029	20336	17	14	5.74
使わ	78029	20336	23	17	5.71
もたらす	78029	20336	23	17	5.71
語ら	78029	20336	30	20	5.52
計算	78029	20336	30	20	5.52
サル	78029	20336	12	11	5.48
犬	78029	20336	12	11	5.48
古代	78029	20336	50	28	5.29
生え	78029	20336	22	16	5.26
夜行	78029	20336	22	16	5.26
出入り	78029	20336	9	9	5.26
ハチマキ	78029	20336	9	9	5.26
キドウマル	78029	20336	9	9	5.26
ドウ	78029	20336	9	9	5.26
ブツ	78029	20336	9	9	5.26
丑寅	78029	20336	16	13	5.24
中世	78029	20336	20	15	5.23
なか	78029	20336	20	15	5.23
守る	78029	20336	18	14	5.22
追い払う	78029	20336	18	14	5.22
いえ	78029	20336	27	18	5.02
場合	78029	20336	34	21	5.00
特徴	78029	20336	25	17	4.94
顔	78029	20336	25	17	4.94
鬼ヶ島	78029	20336	11	10	4.93
活動	78029	20336	11	10	4.93
時	78029	20336	52	28	4.87
語	78029	20336	96	44	4.85
中国	78029	20336	99	45	4.84
言わ	78029	20336	42	24	4.83
まつわる	78029	20336	21	15	4.81
貴族	78029	20336	13	11	4.79
側面	78029	20336	13	11	4.79
行事	78029	20336	88	41	4.78
対し	78029	20336	15	12	4.74
秩序	78029	20336	15	12	4.74
恨み	78029	20336	15	12	4.74
対象	78029	20336	17	13	4.74
漢字	78029	20336	17	13	4.74
松明	78029	20336	17	13	4.74
鬼門	78029	20336	28	18	4.71
三	78029	20336	83	39	4.69
現代	78029	20336	61	31	4.67
泣い	78029	20336	8	8	4.67
サカ	78029	20336	8	8	4.67
ズキ	78029	20336	8	8	4.67
モモタロウ	78029	20336	8	8	4.67
者	78029	20336	33	20	4.63
遊び	78029	20336	24	16	4.53
くる	78029	20336	54	28	4.49
昔話	78029	20336	111	48	4.44
従え	78029	20336	10	9	4.39
ロウ	78029	20336	10	9	4.39
ケモノ	78029	20336	10	9	4.39
一方	78029	20336	18	13	4.32
捉え	78029	20336	12	10	4.28
書紀	78029	20336	12	10	4.28
説話	78029	20336	12	10	4.28
棲む	78029	20336	12	10	4.28
ブーム	78029	20336	12	10	4.28
クビ	78029	20336	12	10	4.28
現在	78029	20336	42	23	4.28
金工	78029	20336	16	12	4.27
童	78029	20336	14	11	4.26
捕まっ	78029	20336	14	11	4.26
最強	78029	20336	25	16	4.21
神	78029	20336	138	56	4.15
行わ	78029	20336	30	18	4.15
金棒	78029	20336	30	18	4.15
例	78029	20336	48	25	4.13
明王	78029	20336	23	15	4.12
棲ん	78029	20336	7	7	4.09
化し	78029	20336	7	7	4.09
鬼才	78029	20336	7	7	4.09
系譜	78029	20336	7	7	4.09
馬	78029	20336	7	7	4.09
イヌ	78029	20336	7	7	4.09
キジ	78029	20336	7	7	4.09
めくり	78029	20336	7	7	4.09
薙刀	78029	20336	7	7	4.09
